order,short_name,display_name,filename,byte_start,byte_end
1,genesis,Genesis,01-genesis.html,0,0
2,exodus,Exodus,02-exodus.html,0,0
3,leviticus,Leviticus,03-leviticus.html,0,0
4,numbers,Numbers,04-numbers.html,0,0
5,deuteronomy,Deuteronomy,05-deuteronomy.html,0,0
6,josue,Joshua,06-josue.html,0,0
7,judges,Judges,07-judges.html,0,0
8,ruth,Ruth,08-ruth.html,0,0
9,1-kings-samuel,1 Samuel,09-1-kings-samuel.html,0,0
10,2-kings-samuel,2 Samuel,10-2-kings-samuel.html,0,0
11,3-kings,1 Kings,11-3-kings.html,0,0
12,4-kings,2 Kings,12-4-kings.html,0,0
13,1-paralipomenon,1 Chronicles,13-1-paralipomenon.html,0,0
14,2-paralipomenon,2 Chronicles,14-2-paralipomenon.html,0,0
15,1-esdras,Ezra,15-1-esdras.html,0,0
16,2-esdras-nehemias,Nehemiah,16-2-esdras-nehemias.html,0,0
17,tobias,Tobit,17-tobias.html,0,0
18,judith,Judith,18-judith.html,0,0
19,esther,Esther,19-esther.html,0,0
20,job,Job,20-job.html,0,0
21,psalms,Psalms,21-psalms.html,0,0
22,proverbs,Proverbs,22-proverbs.html,0,0
23,ecclesiastes,Ecclesiastes,23-ecclesiastes.html,0,0
24,canticle-of-canticles,Song of Solomon,24-canticle-of-canticles.html,0,0
25,wisdom,Wisdom,25-wisdom.html,0,0
26,ecclesiasticus,Sirach,26-ecclesiasticus.html,0,0
27,isaias,Isaiah,27-isaias.html,0,0
28,jeremias,Jeremiah,28-jeremias.html,0,0
29,lamentations,Lamentations,29-lamentations.html,0,0
30,baruch,Baruch,30-baruch.html,0,0
31,ezechiel,Ezekiel,31-ezechiel.html,0,0
32,daniel,Daniel,32-daniel.html,0,0
33,osee,Hosea,33-osee.html,0,0
34,joel,Joel,34-joel.html,0,0
35,amos,Amos,35-amos.html,0,0
36,abdias,Obadiah,36-abdias.html,0,0
37,jonas,Jonah,37-jonas.html,0,0
38,micheas,Micah,38-micheas.html,0,0
39,nahum,Nahum,39-nahum.html,0,0
40,habacuc,Habakkuk,40-habacuc.html,0,0
41,sophonias,Zephaniah,41-sophonias.html,0,0
42,aggeus,Haggai,42-aggeus.html,0,0
43,zacharias,Zechariah,43-zacharias.html,0,0
44,malachias,Malachi,44-malachias.html,0,0
45,1-machabees,1 Maccabees,45-1-machabees.html,0,0
46,2-machabees,2 Maccabees,46-2-machabees.html,0,0
47,matthew,Matthew,47-matthew.html,0,0
48,mark,Mark,48-mark.html,0,0
49,luke,Luke,49-luke.html,0,0
50,john,John,50-john.html,0,0
51,acts,Acts,51-acts.html,0,0
52,romans,Romans,52-romans.html,0,0
53,1-corinthians,1 Corinthians,53-1-corinthians.html,0,0
54,2-corinthians,2 Corinthians,54-2-corinthians.html,0,0
55,galatians,Galatians,55-galatians.html,0,0
56,ephesians,Ephesians,56-ephesians.html,0,0
57,philippians,Philippians,57-philippians.html,0,0
58,colossians,Colossians,58-colossians.html,0,0
59,1-thessalonians,1 Thessalonians,59-1-thessalonians.html,0,0
60,2-thessalonians,2 Thessalonians,60-2-thessalonians.html,0,0
61,1-timothy,1 Timothy,61-1-timothy.html,0,0
62,2-timothy,2 Timothy,62-2-timothy.html,0,0
63,titus,Titus,63-titus.html,0,0
64,philemon,Philemon,64-philemon.html,0,0
65,hebrews,Hebrews,65-hebrews.html,0,0
66,james,James,66-james.html,0,0
67,1-peter,1 Peter,67-1-peter.html,0,0
68,2-peter,2 Peter,68-2-peter.html,0,0
69,1-john,1 John,69-1-john.html,0,0
70,2-john,2 John,70-2-john.html,0,0
71,3-john,3 John,71-3-john.html,0,0
72,jude,Jude,72-jude.html,0,0
73,apocalypse,Revelation,73-apocalypse.html,0,0
